Sector,Sub Sector,Org Name,Item Name,2019,2020,2021,2022,2023
Banks,Banks,All Banks,1. Markup/interest earned,"1,849,681,512.00","1,925,007,376.00","1,835,010,624.00","3,403,292,508.00","6,140,343,295.00"
Banks,Banks,All Banks,2. Markup/interest expenses,"1,173,800,665.00","1,091,613,154.00","1,017,181,487.00","2,258,230,022.00","4,265,002,798.00"
Banks,Banks,All Banks,3. Net markup/interest income,"675,880,847.00","833,394,222.00","817,829,137.00","1,145,062,486.00","1,875,340,497.00"
Banks,Banks,All Banks,4. Provisions and write-offs,"70,207,985.00","137,046,418.00","56,914,181.00","81,023,354.00","72,892,300.00"
Banks,Banks,All Banks,5. Net markup/interest income after provisions,"605,786,211.00","696,347,804.00","760,914,956.00","1,064,039,132.00","1,802,448,197.00"
Banks,Banks,All Banks,6. Non-markup/interest income,"200,902,699.00","241,312,415.00","261,519,176.00","323,712,305.00","379,597,137.00"
Banks,Banks,All Banks,7. Non-markup/interest expenses,"500,169,251.00","527,703,098.00","564,877,255.00","713,038,770.00","926,841,604.00"
Banks,Banks,All Banks,8. Administrative expenses,"492,230,483.00","516,850,454.00","554,087,579.00","697,802,037.00","900,864,576.00"
Banks,Banks,All Banks,9. Profit/(loss) before taxation,"306,406,310.00","409,960,121.00","457,556,877.00","674,712,667.00","1,261,668,846.00"
Banks,Banks,All Banks,10. Profit/(loss) after taxation,"176,038,571.00","245,839,243.00","267,498,919.00","318,684,010.00","626,018,160.00"
Banks,Banks,All Banks,E. Other items,,,,,
Banks,Banks,All Banks,1. Cash generated from operating activities,"1,396,453,273.00","3,338,263,162.00","2,954,440,568.90","4,199,951,906.72","7,845,600,547.30"
Banks,Banks,All Banks,2. Commitments and contingencies, -   , -   , -   ,,
Banks,Banks,All Banks,F. Efficiency ratios/profitability ratios,,,,,
Banks,Banks,All Banks,1. Spread Ratio (D3/D1),36.54,43.29,44.57,33.65,30.54
Banks,Banks,All Banks,2. Net markup/interest margin (D1-D2)/C,3.07,3.32,2.72,3.2,4.11
Banks,Banks,All Banks,3. Return on equity (ROE) (D10/A),12.9,15.94,15.8,16.41,26.09
Banks,Banks,All Banks,4. Return on assets (ROA) (D10/C),0.8,0.98,0.89,0.89,1.37
Banks,Banks,All Banks,5. Non-markup/interest income to total assets (D6/C),0.91,0.96,0.87,0.91,0.83
Banks,Banks,All Banks,6. Net markup/interest income (after prov.) to total assets (D5/C),2.75,2.77,2.53,2.98,3.95
Banks,Banks,All Banks,7. Markup/interest expense to markup/interest income (D2/D1),63.46,56.71,55.43,66.35,69.46
Banks,Banks,All Banks,8. Admin. expense to profit before tax. (D8/D9) (times),1.61,1.26,1.21,1.03,0.71
Banks,Banks,All Banks,9. Non-markup/interest expense to total income D7/(D1+D6),24.39,24.36,26.94,19.13,14.22
Banks,Banks,All Banks,10. Admin. expense to non-markup/interest income (D8/D6) (times),2.45,2.14,2.12,2.16,2.37
Banks,Banks,All Banks,G. Liquidity ratios,,,,,
Banks,Banks,All Banks,1. Cash & cash equivalent to total assets (C1+C2)/C,9.97,9.08,8.48,5.81,7.11
Banks,Banks,All Banks,2. Investment to total assets (C4/C),40.67,47.47,48.1,51.15,55.52
Banks,Banks,All Banks,3. Advances net of provisions to total assets (C8/C),37.53,33.07,33.85,33.13,26.66
Banks,Banks,All Banks,4. Deposits to total assets (B3/C),72.6,73.75,72.36,65.68,63.18
Banks,Banks,All Banks,5. Total liabilities to total assets (B/C),92.5,92.56,93.5,94.16,93.92
Banks,Banks,All Banks,6. Gross advances to deposits (C5/B3),55.6,48.78,50.29,53.99,45.38
Banks,Banks,All Banks,7. Gross advances to borrowing & deposits C5/(B2+B3),47.01,41.58,41.42,40.52,32.67
Banks,Banks,All Banks,H. Assets quality ratios,,,,,
Banks,Banks,All Banks,1. Non-performing loans to gross advances (C6/C5),8.52,9.09,7.75,7.15,7.41
Banks,Banks,All Banks,2. Provisions against NPLs to gross advances (C7/C5),7.01,8.07,6.99,6.58,7.02
Banks,Banks,All Banks,3. NPLs to total equity (C6/A),55.4,53.26,50.08,46.61,40.44
Banks,Banks,All Banks,4. NPLs write off to NPLs provisions (D4/C7),11.28,18.78,7.44,9.72,7.94
Banks,Banks,All Banks,5. Provision against NPL to NPLs (C7/C6),82.33,88.85,90.23,92.06,94.68
Banks,Banks,All Banks,I. Capital/leverage ratios,,,,,
Banks,Banks,All Banks,1. Capital ratio (A/C),6.21,6.14,5.63,5.44,5.26
Banks,Banks,All Banks,2. Commitments & contingencies to total equity (E2/A) (times), -   , -   , -   , -   , -
Banks,Banks,All Banks,3. Total deposit to total equity (B3/A) (times),11.7,12.02,12.86,12.08,12.02
Banks,Banks,All Banks,J. Cash flow ratio,,,,,
Banks,Banks,All Banks,1. Cash generated from operating activities to profit after tax (E1/D10) (times),7.93,13.58,11.04,13.18,12.53
Foreign Banks,Foreign Banks,All Foreign Banks,A. Total equity (A1 to A3),"64,137,709.00","77,845,785.00","81,772,356.64","109,396,053.00","95,680,775.00"
Foreign Banks,Foreign Banks,All Foreign Banks,1. Head office capital account,"43,345,854.00","45,082,332.00","48,514,066.64","59,833,163.00","73,168,856.00"
Foreign Banks,Foreign Banks,All Foreign Banks,2. Reserves,"161,543.00","161,550.00","163,719.00","163,719.00","163,719.00"
Foreign Banks,Foreign Banks,All Foreign Banks,3. Unremitted profit,"20,630,312.00","32,601,903.00","33,094,571.00","49,399,171.00","22,348,200.00"
Foreign Banks,Foreign Banks,All Foreign Banks,4. Others,"229,277.00","-503,125.00","-2,482,074.00","-1,087,866.00","79,097,105.00"
Foreign Banks,Foreign Banks,All Foreign Banks,B. Total liabilities (B1 to B4),"650,893,505.00","658,429,130.00","797,846,478.00","1,032,263,869.00","1,701,748,443.00"
Foreign Banks,Foreign Banks,All Foreign Banks,1. Bills payable,"7,198,250.00","4,880,988.00","3,576,219.00","3,921,011.00","3,232,728.00"
Foreign Banks,Foreign Banks,All Foreign Banks,2. Borrowings from financial institutions,"365,134,911.00","344,992,122.00","406,289,515.00","499,960,627.00","955,797,554.00"
Foreign Banks,Foreign Banks,All Foreign Banks,3. Deposits and other accounts,"245,181,007.00","274,379,521.00","360,846,377.00","471,886,691.00","637,303,246.00"
Foreign Banks,Foreign Banks,All Foreign Banks,4. Other/misc. liabilities,"33,379,337.00","34,176,499.00","27,134,367.00","56,495,540.00","105,414,915.00"
Foreign Banks,Foreign Banks,All Foreign Banks,C. Total assets (C1 to C4 + C8 to C10),"715,260,491.00","735,771,790.00","877,136,761.00","1,140,572,056.00","1,876,526,323.00"
Foreign Banks,Foreign Banks,All Foreign Banks,1. Cash and balances with treasury banks,"59,582,640.00","59,690,698.00","76,652,308.00","93,322,530.00","157,224,135.00"
Foreign Banks,Foreign Banks,All Foreign Banks,2. Balances with other banks,"27,935,629.00","29,699,557.00","30,012,338.00","40,483,637.00","44,937,453.00"
Foreign Banks,Foreign Banks,All Foreign Banks,3. Lending to financial institutions,"235,064,713.00","214,519,818.00","57,163,421.00","91,024,482.00","492,832,920.00"
Foreign Banks,Foreign Banks,All Foreign Banks,4. Investments,"287,315,034.00","344,571,990.00","600,081,289.00","772,522,440.00","710,552,678.00"
Foreign Banks,Foreign Banks,All Foreign Banks,5. Gross advances,"94,163,546.00","75,191,276.00","92,680,682.00","107,297,004.00","440,333,204.00"
Foreign Banks,Foreign Banks,All Foreign Banks,6. Advances-non-performing/classified,"2,771,537.00","2,477,592.00","1,837,087.00","1,869,207.00","632,683.00"
Foreign Banks,Foreign Banks,All Foreign Banks,7. Provision against advances,"3,072,361.00","2,823,403.00","2,340,757.00","2,420,810.00","699,484.00"
Foreign Banks,Foreign Banks,All Foreign Banks,8. Advances net of provision (C5-C7),"91,091,185.00","72,367,873.00","90,339,925.00","104,876,194.00","439,633,720.00"
Foreign Banks,Foreign Banks,All Foreign Banks,9. Fixed assets,"1,969,842.00","2,032,586.00","1,607,755.00","2,031,849.00","3,327,881.00"
Foreign Banks,Foreign Banks,All Foreign Banks,10. Other/misc. assets,"12,301,448.00","12,889,268.00","21,279,725.00","36,310,924.00","28,017,536.00"
Foreign Banks,Foreign Banks,All Foreign Banks,D. Profit & loss account,,,,,
Foreign Banks,Foreign Banks,All Foreign Banks,1. Markup/interest earned,"71,659,049.00","68,295,920.00","52,446,298.00","109,935,972.00","266,262,199.00"
Foreign Banks,Foreign Banks,All Foreign Banks,2. Markup/interest expenses,"46,241,877.00","44,029,751.00","38,816,014.00","75,644,221.00","167,325,354.00"
Foreign Banks,Foreign Banks,All Foreign Banks,3. Net markup/interest income,"25,417,172.00","24,266,169.00","13,630,284.00","34,291,751.00","98,936,845.00"
Foreign Banks,Foreign Banks,All Foreign Banks,4. Provisions and write-offs,"6,452.00","44,988.00","120,194.00","21,914.00","-455,501.00"
Foreign Banks,Foreign Banks,All Foreign Banks,5. Net markup/interest income after provisions,"25,410,720.00","24,221,181.00","13,510,090.00","34,269,837.00","99,392,346.00"
Foreign Banks,Foreign Banks,All Foreign Banks,6. Non-markup/interest income,"7,020,950.00","10,397,181.00","8,174,869.00","12,724,882.00","18,095,072.00"
Foreign Banks,Foreign Banks,All Foreign Banks,7. Non-markup/interest expenses,"7,066,022.00","5,648,090.00","7,091,746.00","8,556,432.00","13,579,288.00"
Foreign Banks,Foreign Banks,All Foreign Banks,8. Administrative expenses,"6,542,660.00","5,061,333.00","6,774,544.00","7,749,873.00","11,449,439.00"
Foreign Banks,Foreign Banks,All Foreign Banks,9. Profit/(loss) before taxation,"25,365,648.00","28,973,272.00","14,593,213.00","38,438,287.00","110,373,246.00"
Foreign Banks,Foreign Banks,All Foreign Banks,10. Profit/(loss) after taxation,"14,713,114.00","17,493,943.00","7,203,507.00","16,336,491.00","60,239,105.00"
Foreign Banks,Foreign Banks,All Foreign Banks,E. Other items,,,,,
Foreign Banks,Foreign Banks,All Foreign Banks,1. Cash generated from operating activities,"65,954,402.00","66,663,314.00","258,876,584.00","196,623,997.00","8,209,366.00"
Foreign Banks,Foreign Banks,All Foreign Banks,2. Commitments and contingencies, -   ,, -   , -   , -
Foreign Banks,Foreign Banks,All Foreign Banks,F. Efficiency ratios/profitability ratios,,,,,
Foreign Banks,Foreign Banks,All Foreign Banks,1. Spread Ratio (D3/D1),35.47,35.53,25.99,31.19,37.16
Foreign Banks,Foreign Banks,All Foreign Banks,2. Net markup/interest margin (D1-D2)/C,3.55,3.3,1.55,3.01,5.27
Foreign Banks,Foreign Banks,All Foreign Banks,3. Return on equity (ROE) (D10/A),22.94,22.47,8.81,14.93,62.96
Foreign Banks,Foreign Banks,All Foreign Banks,4. Return on assets (ROA) (D10/C),2.06,2.38,0.82,1.43,3.21
Foreign Banks,Foreign Banks,All Foreign Banks,5. Non-markup/interest income to total assets (D6/C),0.98,1.41,0.93,1.12,0.96
Foreign Banks,Foreign Banks,All Foreign Banks,6. Net markup/interest income (after prov.) to total assets (D5/C),3.55,3.29,1.54,3,5.3
Foreign Banks,Foreign Banks,All Foreign Banks,7. Markup/interest expense to markup/interest income (D2/D1),64.53,64.47,74.01,68.81,62.84
Foreign Banks,Foreign Banks,All Foreign Banks,8. Admin. expense to profit before tax. (D8/D9) (times),0.26,0.17,0.46,0.2,0.1
Foreign Banks,Foreign Banks,All Foreign Banks,9. Non-markup/interest expense to total income D7/(D1+D6),8.98,7.18,11.7,6.98,4.78
Foreign Banks,Foreign Banks,All Foreign Banks,10. Admin. expense to non-markup/interest income (D8/D6) (times),0.93,0.49,0.83,0.61,0.63
Foreign Banks,Foreign Banks,All Foreign Banks,G. Liquidity ratios,,,,,
Foreign Banks,Foreign Banks,All Foreign Banks,1. Cash & cash equivalent to total assets (C1+C2)/C,12.24,12.15,12.16,11.73,10.77
Foreign Banks,Foreign Banks,All Foreign Banks,2. Investment to total assets (C4/C),40.17,46.83,68.41,67.73,37.87
Foreign Banks,Foreign Banks,All Foreign Banks,3. Advances net of provisions to total assets (C8/C),12.74,9.84,10.3,9.2,23.43
Foreign Banks,Foreign Banks,All Foreign Banks,4. Deposits to total assets (B3/C),34.28,37.29,41.14,41.37,33.96
Foreign Banks,Foreign Banks,All Foreign Banks,5. Total liabilities to total assets (B/C),91,89.49,90.96,90.5,90.69
Foreign Banks,Foreign Banks,All Foreign Banks,6. Gross advances to deposits (C5/B3),38.41,27.4,25.68,22.74,69.09
Foreign Banks,Foreign Banks,All Foreign Banks,7. Gross advances to borrowing & deposits C5/(B2+B3),15.43,12.14,12.08,11.04,27.64
Foreign Banks,Foreign Banks,All Foreign Banks,H. Assets quality ratios,,,,,
Foreign Banks,Foreign Banks,All Foreign Banks,1. Non-performing loans to gross advances (C6/C5),2.94,3.3,1.98,1.74,0.14
Foreign Banks,Foreign Banks,All Foreign Banks,2. Provisions against NPLs to gross advances (C7/C5),3.26,3.75,2.53,2.26,0.16
Foreign Banks,Foreign Banks,All Foreign Banks,3. NPLs to total equity (C6/A),4.32,3.18,2.25,1.71,0.66
Foreign Banks,Foreign Banks,All Foreign Banks,4. NPLs write off to NPLs provisions (D4/C7),0.21,1.59,5.13,0.91,-65.12
Foreign Banks,Foreign Banks,All Foreign Banks,5. Provision against NPL to NPLs (C7/C6),110.85,113.96,127.42,129.51,110.56
Foreign Banks,Foreign Banks,All Foreign Banks,I. Capital/leverage ratios,,,,,
Foreign Banks,Foreign Banks,All Foreign Banks,1. Capital ratio (A/C),8.97,10.58,9.32,9.59,5.1
Foreign Banks,Foreign Banks,All Foreign Banks,2. Commitments & contingencies to total equity (E2/A) (times), -   , -   , -   , -   , -
Foreign Banks,Foreign Banks,All Foreign Banks,3. Total deposit to total equity (B3/A) (times),3.82,3.52,4.41,4.31,6.66
Foreign Banks,Foreign Banks,All Foreign Banks,J. Cash flow ratio,,,,,
Foreign Banks,Foreign Banks,All Foreign Banks,1. Cash generated from operating activities to profit after tax (E1/D10) (times),4.48,3.81,35.94,12.04,0.14
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,A. Total equity (A1 to A3),"38,160,378.00","48,917,057.00","55,612,577.00","74,192,228.00","42,158,938.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,1. Head office capital account,"23,227,140.00","23,975,160.00","26,477,025.00","33,964,635.00","42,279,105.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,2. Reserves, -   , -   , -   , -   , -
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,3. Unremitted profit,"14,933,238.00","24,941,897.00","29,135,552.00","40,227,593.00","-120,167.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,4. Others,"124,975.00","-603,210.00","-1,651,302.00","-514,168.00","79,234,673.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,B. Total liabilities (B1 to B4),"467,112,718.00","466,791,510.00","556,586,726.00","709,066,727.00","1,287,827,919.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,1. Bills payable,"4,125,334.00","2,425,126.00","1,458,127.00","1,973,793.00","1,740,735.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,2. Borrowings from financial institutions,"351,242,058.00","325,902,342.00","390,977,403.00","499,959,427.00","955,797,554.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,3. Deposits and other accounts,"94,465,934.00","119,301,294.00","155,302,046.00","176,543,182.00","251,874,893.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,4. Other/misc. liabilities,"17,279,392.00","19,162,748.00","8,849,150.00","30,590,325.00","78,414,737.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,C. Total assets (C1 to C4 + C8 to C10),"505,398,071.00","515,105,357.00","610,548,001.00","782,744,787.00","1,409,221,530.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,1. Cash and balances with treasury banks,"32,354,350.00","31,226,025.00","37,703,444.00","42,170,309.00","63,902,407.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,2. Balances with other banks,"13,270,408.00","2,497,170.00","23,331,975.00","6,434,681.00","16,633,161.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,3. Lending to financial institutions,"214,503,548.00","187,430,652.00","44,289,040.00","80,542,850.00","469,012,808.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,4. Investments,"211,160,688.00","252,704,902.00","445,777,512.00","576,201,472.00","471,336,787.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,5. Gross advances,"29,456,850.00","33,760,712.00","49,707,721.00","54,356,650.00","372,299,137.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,6. Advances-non-performing/classified, -   , -   , -   , -   , -
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,7. Provision against advances,"294,566.00","337,607.00","495,557.00","543,567.00","58,803.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,8. Advances net of provision (C5-C7),"29,162,284.00","33,423,105.00","49,212,164.00","53,813,083.00","372,240,334.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,9. Fixed assets,"628,978.00","704,761.00","576,956.00","551,805.00","763,187.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,10. Other/misc. assets,"4,317,815.00","7,118,742.00","9,656,910.00","23,030,587.00","15,332,846.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,D. Profit & loss account,,,,,
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,1. Markup/interest earned,"53,566,088.00","50,601,065.00","37,188,805.00","79,301,239.00","199,978,689.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,2. Markup/interest expenses,"37,245,090.00","34,999,460.00","30,882,139.00","58,415,795.00","132,005,688.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,3. Net markup/interest income,"16,320,998.00","15,601,605.00","6,306,666.00","20,885,444.00","67,973,001.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,4. Provisions and write-offs,"65,138.00","43,041.00","157,950.00","48,010.00","-483,674.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,5. Net markup/interest income after provisions,"16,255,860.00","15,558,564.00","6,148,716.00","20,837,434.00","68,456,675.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,6. Non-markup/interest income,"2,323,598.00","3,001,768.00","3,694,619.00","5,458,030.00","8,023,577.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,7. Non-markup/interest expenses,"2,315,433.00","1,760,570.00","2,310,391.00","2,843,915.00","4,590,917.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,8. Administrative expenses,"1,990,152.00","1,424,419.00","2,144,455.00","2,365,062.00","3,123,771.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,9. Profit/(loss) before taxation,"16,264,025.00","16,799,762.00","7,532,944.00","23,451,549.00","71,889,335.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,10. Profit/(loss) after taxation,"9,576,922.00","10,007,905.00","4,194,113.00","11,092,914.00","39,015,062.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,E. Other items,,,,,
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,1. Cash generated from operating activities,"47,449,793.00","30,169,112.00","219,568,229.00","108,930,899.00","-81,634,435.00"
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,2. Commitments and contingencies,,, -   , -   , -
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,F. Efficiency ratios/profitability ratios,,,,,
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,1. Spread Ratio (D3/D1),30.47,30.83,16.96,26.34,33.99
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,2. Net markup/interest margin (D1-D2)/C,3.23,3.03,1.03,2.67,4.82
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,3. Return on equity (ROE) (D10/A),25.1,20.46,7.54,14.95,92.54
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,4. Return on assets (ROA) (D10/C),1.89,1.94,0.69,1.42,2.77
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,5. Non-markup/interest income to total assets (D6/C),0.46,0.58,0.61,0.7,0.57
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,6. Net markup/interest income (after prov.) to total assets (D5/C),3.22,3.02,1.01,2.66,4.86
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,7. Markup/interest expense to markup/interest income (D2/D1),69.53,69.17,83.04,73.66,66.01
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,8. Admin. expense to profit before tax. (D8/D9) (times),0.12,0.08,0.28,0.1,0.04
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,9. Non-markup/interest expense to total income D7/(D1+D6),4.14,3.28,5.65,3.36,2.21
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,10. Admin. expense to non-markup/interest income (D8/D6) (times),0.86,0.47,0.58,0.43,0.39
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,G. Liquidity ratios,,,,,
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,1. Cash & cash equivalent to total assets (C1+C2)/C,9.03,6.55,10,6.21,5.71
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,2. Investment to total assets (C4/C),41.78,49.06,73.01,73.61,33.45
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,3. Advances net of provisions to total assets (C8/C),5.77,6.49,8.06,6.87,26.41
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,4. Deposits to total assets (B3/C),18.69,23.16,25.44,22.55,17.87
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,5. Total liabilities to total assets (B/C),92.42,90.62,91.16,90.59,91.39
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,6. Gross advances to deposits (C5/B3),31.18,28.3,32.01,30.79,147.81
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,7. Gross advances to borrowing & deposits C5/(B2+B3),6.61,7.58,9.1,8.03,30.83
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,H. Assets quality ratios,,,,,
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,1. Non-performing loans to gross advances (C6/C5), -   , -   , -   , -   , -
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,2. Provisions against NPLs to gross advances (C7/C5),1,1,1,1,0.02
Foreign Banks,Foreign Banks,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD.,3. NPLs to total equity (C6/A), -   , -   , -   , -   , -
